text,p,3,eq,7,-1,2.73438000679,1543865148.65
text,p,1,tr,7,1,2.49608778954,1543865151.15
vangogh,tr,1,eq,3,-2,516.794447899,1543865157.93
vangogh,eq,7,tr,5,0,2.81908392906,1543865160.75
text,p,1,tr,7,1,12.9801168442,1543865161.63
vangogh,eq,5,eq,3,0,3.64751696587,1543865164.4
vangogh,eq,3,p,1,2,3.25905179977,1543865167.66
vangogh,eq,1,tr,7,-2,4.74780988693,1543865172.41
vangogh,eq,3,p,7,1,6.22692894936,1543865178.64
vangogh,p,1,p,5,-1,5.62929987907,1543865184.27
vangogh,p,7,p,3,1,5.80393695831,1543865190.07
vangogh,eq,7,p,1,2,2.86718702316,1543865192.94
macaroon,tr,7,eq,7,-1,4.57726383209,1543865197.52
macaroon,tr,5,tr,1,1,125.066252947,1543865322.59
macaroon,tr,7,tr,3,0,4.47900819778,1543865327.07
text,p,1,tr,7,1,9.02649998665,1543865425.29
text,p,1,tr,7,1,4.45530295372,1543865918.19
text,p,1,tr,7,1,3.52544403076,1543866821.3
vangogh,eq,1,eq,7,-2,4.21606302261,1543871133.45
vangogh,p,3,p,7,-1,3.72664403915,1543871137.18
vangogh,eq,5,p,5,-1,2.73483204842,1543871139.91
